REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,
d3,178,closed,opened,2011-06-07 03:38:26,,,,,,,,,,,,
d3,178,closed,title,2011-06-07 03:38:26,00:00,,1,,"b""b' Add d3.'""",,,,,,,
d3,178,closed,body,2011-06-07 03:38:26,00:00,,1,,"b""b' I followed the same pattern as d3 to add a d3 that can interpolate simple shapes like rectangle", ellipse, circle, diamond, gear," drop. More complex shapes can be generated as they are all derived from the Superformula url  You can see a working example here: url '""",,
d3,178,closed,1,2011-06-07 03:38:26,59.65,,,1,"b'b"" Fantastic! I\'d like to restructure this a bit as d3", so that people can customize the various parameters. I\'m imagining something like I\'d still like to support some of the built-in shapes, as you\'ve done. So, you might say something like to override one of the star\'s parameters. It might also be useful to override thetaSteps, though the tweening behavior would be undesirable if thetaSteps changed across transitions. (You could always use the higher of the two values during the transition, then swap to the end value when the transition completes," though.)""'",
d3,178,closed,2,2011-06-07 03:38:26,47.45,,1,,"b'b"" Good idea. But I will need help since I\'m new to javascript. And I think my example using it is poorly coded. Can you give me a better working example using d3?I added some shapes on the commit and on the example. I also added rotation so shapes like the drop"," the butterfly and the heart can be upright. But I have to fix the tweening rotation that occurs between rotated shapes.![Supertween screenshot]url ""'",,,,,,
d3,178,closed,3,2011-06-07 03:38:26,16.07,,1,,b'b\' I took a crack at it here, so you can see what I\\\'m thinking: url  You should be able to sync to your branch like this," assuming you have a remote named ""upstream"" pointing at my repository: I\\\'ll merge in those new symbols you added now.\''",,,,,
d3,178,closed,4,2011-06-07 03:38:26,745.23,,,1,"b""b' Wow"," the code is pretty neat now! Even the shape list is in alphabetical order. I just added rotation (rot) to the parameter. I use a circular shifting on the point list instead of a computed rotation to keep the tweening smooth.'""",,,,,,
d3,178,closed,5,2011-06-07 03:38:26,4.3,,,1,"b'b\' Thanks. :) Do you think the rotation parameter is necessary? We can also say attr(""transform""","rotate(90)"") on the path element, which seems a bit more flexible and simplifies the implementation.\''
d3	178	closed	6	biovisualize	2011-06-07 03:38:26	59.35		+1		b'b"" It\'s just to set the default orientation and to avoid rotation in the tweening. The user could as well ignore it and use rotate(). Don\'t you think?""'
d3	178	closed	closed	 - 	2011-06-08 05:04:18	85.87	0	5	3
d3	178	closed	reopened	 - 	2011-06-11 19:46:22	882.07	0	5	3
d3	178	closed	7	mbostock	2011-06-07 03:38:26	66.65			+1	b""b' Hooray, integrated into master as of release 1.20.1. Thank you!'",,,,,,
d3,178,closed,closed,2011-06-11 20:17:08,30.77,0,5,4,,,,,,,,
d3,178,closed,8,2011-06-07 03:38:26,1429.27,,,1,"b""b' Good job"," thanks a lot!'""",,,,,,
d3,178,closed,-,-,-,0,5,5,,,,,,,,
d3,231,closed,opened,2011-07-22 17:39:17,,,,,,,,,,,,
d3,231,closed,title,2011-07-22 17:39:17,00:00,,1,,"b""b' Improve IE9 compatibility'""",,,,,,,
d3,231,closed,body,2011-07-22 17:39:17,00:00,,,1,"b'b"" This adds simple patches for IE9 support by patching  and creating a simple workaround for {elt}() which IE9doesn\'t support. IE9 does not support {elt}(name",value,priority)but this can be worked around using{elt}.style[name] = value Tested examples/ with this in place and every example I checkedworked in IE9 (specifically, this fixes bar, bullet, albers, force directed graphs,"which don\'t work without the patch). Thanks.""'"
d3,231,closed,1,2011-07-22 17:39:17,29.85,,,1,"b'b"" Nice! Thank you. Minor suggestion", since the value of never changes, you can say: Also, I imagine we\'ll want one for getStyleProperty, too. And ideally," we detect whether this is necessary by inspecting a candidate style object:  ""'",,
d3,231,closed,2,2011-07-22 17:39:17,96.48,,,1,"b""b' Right on to both of you.  The solution I started hacking up yesterday tested for "," which is wanted because IE10 will likely (hopefully) finally support setProperty like the MSDN docs state that it does.  Thanks!'""",,,,,,
d3,231,closed,3,2011-07-22 17:39:17,139.37,,1,,"b'b"" Here are a few improvements"," also looked at ticket #199. Can\'t use since the  is null.""'",,,,,,
d3,231,closed,closed,2011-07-22 22:04:59,265.7,0,2,3,,,,,,,,
d3,231,closed,reopened,2011-07-22 22:07:12,2.22,0,2,3,,,,,,,,
d3,231,closed,4,2011-07-22 17:39:17,2.83,,1,,"b""b' How about  ? Or  ?'""",,,,,,,
d3,231,closed,5,2011-07-22 17:39:17,3.9,,1,,"b'b"" Sure", I\'ll take a look. By the way," did a little more digging and here\'s the set of examples this fixes in IE9.bubble/*box/*cartogram/*-multi-qq/*""'",,,,,
d3,231,closed,closed,2011-07-22 22:11:43,4.52,0,4,3,,,,,,,,
d3,231,closed,reopened,2011-07-22 22:12:03,0.33,0,4,3,,,,,,,,
d3,231,closed,6,2011-07-22 17:39:17,1432.17,,,1,"b'b"" I\'ve explored the approach.  Apparently IE9 didn\'t have setProperty late in beta url  IE9 does have setProperty **now** but it\'s implemented slightly differently from the other browsers. Here\'s the scoop: IE9:  setProperty(name", value, priority) =Others: setProperty(name, value, priority) =So to handle this difference, I think we have to do IE detection again," unless you have another idea.""'",
d3,231,closed,7,2011-07-22 17:39:17,1295.72,1,,,"b'b"" Argh", that\'s annoying. Thanks, IE. Still, I could see branching three implementations based on calling setProperty on a trial element. If there\'s no such method, we fallback to direct-set; if the method throws a TypeError, we use a string-coercing setProperty; otherwise," we use the default on all standard browsers.""'",
d3,231,closed,8,2011-07-22 17:39:17,5.47,,1,,"b'b""  Yup. I\'ll pull it together and hopefully get this closed out.  ##  Chris GemignaniSent with Sparrow url  On Friday", July 29, 2011 at 3:39 PM," mbostock wrote:""'",,,,
d3,231,closed,9,2011-07-22 17:39:17,62.27,,,1,"b'b"" The [solution suggested]url  by @macduy is pretty awesome. Seems like we\'d have to detect whether those methods are already defined", and whether or not they perform string coercion," though.""'",,,,,
d3,231,closed,10,2011-07-22 17:39:17,380.9,,1,,"b'b"" OK", I committed a workaround for IE9\'s  here: @c2e37352ac84eb8b4be89feed90bc2249866f715. It should make it into the next release," if I can get someone to test IE9: url ""'",,,,,
d3,231,closed,11,2011-07-22 17:39:17,458.0,,,1,"b""b' It works!  '""",,,,,,,
d3,231,closed,12,2011-07-22 17:39:17,495.42,,1,,"b""b' Fixed in 2.1.0.'""",,,,,,,
d3,231,closed,closed,2011-08-29 19:01:40,1249.62,1,7,6,,,,,,,,
d3,231,closed,13,2011-07-22 17:39:17,101.87,,1,,b'b\' This isn\\\'t working when I test it with actual d3 code and should be reopened. I see the following in the IE 9 developer console: This holds true for both the 2.3.0 release and current git HEAD (fe6128180e8). It appears returning null from a .style() call easily triggers this (background-color in my case), as well as returning null from a .html() function," which causes the literal ""null"" text to appear in objects.\''",,,,,
d3,231,closed,14,2011-07-22 17:39:17,111.17,,1,,"b""b' @toolfishes And what is the value of  in IE9 after loading d3.js?'""",,,,,,,
d3,231,closed,15,2011-07-22 17:39:17,115.92,,1,,"b'b\' It gets overridden correctly with the function from the error block. I can add a console logger in there and see it trying to call the real set property with either null + """" (which equals ""null"") in the .html() case or ""null"" + """" in the background-color case. I made my .html() function return """" instead of null", but the background-color problem still holds (and it is broken in IE9) if you navigate here: url \'',,,,,,
d3,231,closed,16,2011-07-22 17:39:17,120.83,,1,,"b'b"" If the value is null"," setProperty isn\'t called; it calls removeProperty instead.""'",,,,,,
d3,231,closed,17,2011-07-22 17:39:17,126.6,,1,,"b'b\' I\\\'ve seen the ""null"" issue occur in other browsers too; it\\\'s due to using  .\''",,,,,,,
d3,231,closed,18,2011-07-22 17:39:17,129.78,,1,,b'b\' Correct, transition() is involved here," and somewhere along the way null is getting coerced to ""null"".\''",,,,,
d3,231,closed,19,2011-07-22 17:39:17,138.37,1,,,b'b\' I think there are two issues causing this:1. Interpolating from a string to coerces to  .2. calls  , even for a value of  . In IE9 specifically," it will complain if you set an invalid style e.g. ""null"". Other browsers will just ignore it.\''",,,,,
d3,231,closed,20,2011-07-22 17:39:17,157.45,,1,,"b""b' Fixed: #331.'""",,,,,,,
d3,231,closed,21,2011-07-22 17:39:17,1271.53,,,1,"b""b' I am using version 2.9.6 of d3 and whenever I am using IE9 in compatibility mode I get the following error: d3.v2.js"," line 7 character 3 Any assistance with this would be greatly appreciated!'""",,,,,,
d3,231,closed,22,2011-07-22 17:39:17,1272.45,,1,,"b'b"" Don\'t use compatibility mode.""'",,,,,,,
d3,231,closed,23,2011-07-22 17:39:17,1280.05,,1,,"b'b"" I would love to not test in compatibility \'m doing some R&D on bullet graphs to add to the product I work on for my employer.  Unfortunately many of our clients are still using IE8 and we have to make sure all of our screens with in IE8", IE9, and IE9 in compatibility mode.  If there is no workaround or fix for this," then I will move on in my R&D and see what other option are other. Thanks""'",,,,
d3,231,closed,24,2011-07-22 17:39:17,225.67,,1,,b'b\' @XULA96 For clarification, by default," switching IE9 to ""compatibility mode"" generally throws IE9 into an IE7 mode not even IE8. That said", D3 does NOT work in IE8 and below due to a significant number of issues. \'',,,,
d3,231,closed,-,-,-,2,17,7,,,,,,,,
d3,232,closed,opened,2011-07-26 16:14:33,,,,,,,,,,,,
d3,232,closed,title,2011-07-26 16:14:33,00:00,,1,,"b""b' Time Scale Refinements'""",,,,,,,
d3,232,closed,body,2011-07-26 16:14:33,00:00,,1,,"b'b"" I\'ve added two functions to the time scale setup: interval and intervalFormat. They allow you to make ticks at particular time intervals (e.g. every month or every hour) and to label those ticks uniformly"," instead of defaulting to the highest-order label.""'",,,,,,
d3,232,closed,1,2011-07-26 16:14:33,5.32,,1,,"b'b"" Incidentally", they\'re based around the format notations already built in to the time system ( ,  , etc)," so to get ticks by month you\'d call  ""'",,,
d3,232,closed,closed,2011-07-26 16:19:52,5.32,0,3,0,,,,,,,,
d3,232,closed,reopened,2011-07-26 16:19:55,0.05,0,3,0,,,,,,,,
d3,232,closed,2,2011-07-26 16:14:33,198.57,1,,,"b'b"" If you want to force a particular time interval for ticks", you should just call the appropriate interval method (e.g.,  ) rather than using the scale ticks. I don\'t see that this functionality needs to be added to the scales given that we already have a method for producing ticks for a specific interval. Unless there\'s something I\'m missing? I could see, however, making it a bit more convenient to map a time scale\'s domain to the arguments to the interval method. Currently you have to compute the extent (domain[0], domain[1]) by hand, not that it\'s hard," but it\'s a bit tedious.""'"
d3,232,closed,3,2011-07-26 16:14:33,296.78,,1,,"b'b"" I\'ve added the ability to force a particular time interval for time scale ticks in 1.29.0. For example", you can now say: And you will get 15-second ticks. The way it works under the hood is that the range method now take an optional third argument which specifies the step, so d3(t0, t1," 15) will return the 15-second dates between t0 (inclusive) and t1 (exclusive). Just be sure that you match the appropriate localor UTC-range method with your scale.""'",,,
d3,232,closed,closed,2011-08-01 00:35:13,495.3,1,4,0,,,,,,,,
d3,232,closed,-,-,-,1,4,0,,,,,,,,
d3,631,closed,opened,2012-05-04 00:25:00,,,,,,,,,,,,
d3,631,closed,title,2012-05-04 00:25:00,00:00,,1,,"b""b' Chordratio & new chord SVG'""",,,,,,,
d3,631,closed,body,2012-05-04 00:25:00,00:00,,1,,"b'b"" I\'ve added the chordratio layout which takes a rectangular array of relationships between entities. Each row represents an entity"," each column is that entity\'s contribution to some total value for the column. I also changed the svg chord to a cubic spline in an attempt to reduce path self-intersections.""'",,,,,,
d3,631,closed,1,2012-05-04 00:25:00,963.7,,1,,"b'b"" Hmm", I\'m not sure this is a good idea. Wouldn\'t a stacked bar chart be a better way of comparing the entities\' ratios? Grouping things by curved paths is a fairly weak association compared to proximity (gestalt). Also, there\'s a lot of duplicate code here," so I think it would be a lot of work to merge this in. It\'d be better to release this as a standalone plugin.""'",,,,
d3,631,closed,closed,2012-06-19 16:28:42,963.7,0,3,0,,,,,,,,
d3,631,closed,2,2012-05-04 00:25:00,370.45,1,,,"b""b' This is a supported variant in Circos"," very useful for comparing the output of various clustering algorithms when grouping genomic data (in fact I think this may have been the first application for Circos). I can merge the code back into the chord layout but I was worried about the performance implications of doing so (assuming code duplication is the real worry).'""",,,,,,
d3,631,closed,reopened,2012-08-09 02:18:45,590.05,1,3,0,,,,,,,,
d3,631,closed,closed,2016-10-20 17:53:30,934.75,1,3,0,,,,,,,,
d3,631,closed,-,-,-,1,3,0,,,,,,,,
d3,642,closed,opened,2012-05-09 21:07:50,,,,,,,,,,,,
d3,642,closed,title,2012-05-09 21:07:50,00:00,,1,,"b'b\' ""Bundle"" interpolation for single-element arrays.\''",,,,,,,
d3,642,closed,body,2012-05-09 21:07:50,00:00,,1,,b'b\' Probably a better fix than #640. In future we may want to generate some kind of loop, but it\\\'s not clear what orientation such a loop should have," so perhaps a ""non-line"" like this is better as a default.\''",,,,,
d3,642,closed,1,2012-05-09 21:07:50,22.85,,,1,"b""b' Yeah"," this looks good.'""",,,,,,
d3,642,closed,2,2012-05-09 21:07:50,1164.4,,1,,"b""b' I think this is replaced by #640?'""",,,,,,,
d3,642,closed,closed,2012-05-16 16:55:05,1187.25,0,3,1,,,,,,,,
d3,642,closed,3,2012-05-09 21:07:50,14.27,,1,,"b'b"" Yes"," it\'s merged into #640.""'",,,,,,
d3,642,closed,reopened,2012-05-16 18:47:20,112.25,0,4,1,,,,,,,,
d3,642,closed,closed,2012-06-14 16:35:16,1307.93,0,4,1,,,,,,,,
d3,642,closed,-,-,-,0,4,1,,,,,,,,
d3,1175,closed,opened,2013-03-29 23:51:37,,,,,,,,,,,,
d3,1175,closed,title,2013-03-29 23:51:37,00:00,,1,,"b'b"" Fix for #1005 fix click suppression after dragend in cases where click doesn\'t fire.""'",,,,,,,
d3,1175,closed,body,2013-03-29 23:51:37,00:00,,1,,"b'b"" Fixes Issue #1005 for both  and  This fixes (which we\'re using at appneta to fix this issue in our app for both zoom and drag) cases when code intended to suppress superfluous click events on dragend causes a later click (anywhere on the page) to be absorbed. Since the undesired click event should fire immediately after dragend", before returning to the JS event loop," the 0ms setTimeout where we clear the handler would only ever fire after the click event.  This should also take place fast enough that most human users would never make a subsequent click before the setTimeout fires. This is a bit hacky as noted in url  but is probably less complicated than trying to discern  where the click does and does not fire.""'",,,,,
d3,1175,closed,1,2013-03-29 23:51:37,6.3,,,1,"b'b"" Looks good. My only thought is regarding code duplication\\xe2\\x80\\x94perhaps there\'s a way to reduce it here.""'",,,,,,,
d3,1175,closed,closed,2013-03-29 23:57:55,6.3,0,2,1,,,,,,,,
d3,1175,closed,reopened,2013-03-29 23:57:58,0.05,0,2,1,,,,,,,,
d3,1175,closed,2,2013-03-29 23:51:37,0.55,1,,,"b'b"" (Didn\'t mean to close"," sorry.)""'",,,,,,
d3,1175,closed,3,2013-03-29 23:51:37,41.55,,,1,b'b\' Good suggestion.  In my new commit (force-pushed over the old one)," I rewrote the fix with a new function.  Not sure how ""core"" this sort of function is", or if maybe there\\\'s a better way to consolidate. I like how clean the existing  source is, and it\\\'s tempting to suggest that maybe this click suppression shouldn\\\'t be there at all, lest it get overrun by browser and edge case fixes. For reference, the original fix was appneta@6560b3bffca1cb6a398c126e35c5c9f50b7f0759\'',,
d3,1175,closed,4,2013-03-29 23:51:37,107.4,,,1,"b""b' I have incorporated my suggestions and it will be part of the next patch release. Thank you!'""",,,,,,,
d3,1175,closed,closed,2013-04-07 02:29:25,151.45,1,2,3,,,,,,,,
d3,1175,closed,-,-,-,1,2,3,,,,,,,,
d3,2668,closed,opened,2015-12-07 15:38:28,,,,,,,,,,,,
d3,2668,closed,title,2015-12-07 15:38:28,00:00,,1,,"b""b' Tree with only one branch overlays the objects.'""",,,,,,,
d3,2668,closed,body,2015-12-07 15:38:28,00:00,,1,,"b""b' The Y coordinate gets set to zero for all "," etc.'""",,,,,,
d3,2668,closed,closed,2015-12-07 16:13:16,34.8,0,2,0,,,,,,,,
d3,2668,closed,reopened,2015-12-07 17:05:04,51.8,0,2,0,,,,,,,,
d3,2668,closed,1,2015-12-07 15:38:28,90.77,,1,,"b""b' This looks like a duplicate of #2650 (which was retracted by the author\\xe2\\x80\\xa6\\xc2\\xa0I haven\\xe2\\x80\\x99t had time to investigate why). Appears to be a fix for #2646"," also.'""",,,,,,
d3,2668,closed,2,2015-12-07 15:38:28,67.55,,1,,b'b\' Ok," I also put in a fix for his and vylan\\\'s ""root only node"" problem.\''",,,,,,
d3,2668,closed,3,2015-12-07 15:38:28,900.4,,,1,"b'b"" Thanks @jfrickson ", I \'ve tested with your code. I believe it fixed this issue. by the way," please change seq2 to sep2.  ""'",,,,,
d3,2668,closed,4,2015-12-07 15:38:28,759.22,,,1,"b""b' Should be good to go!'""",,,,,,,
d3,2668,closed,5,2015-12-07 15:38:28,1426.63,,1,,"b""b' I\\xe2\\x80\\x99ve pushed a slightly simpler fix in d3/d3-hierarchy@68055b9d22b2b1f002fd2cc1995238cbb778f644 for 4.0. In the case of a single-branch tree", the leftand right-most node is always the root, and I think it\\xe2\\x80\\x99s best to avoid invoking the separation function when _a_ and _b_ are the same node (the root); in that case," we can simply center the tree within the layout area. I\\xe2\\x80\\x99m probably not going to back-port the fix to 3.x. A simple workaround is to not return Infinity from the separation function:  '""",,,,
d3,2668,closed,closed,2016-04-06 21:43:02,277.97,0,5,2,,,,,,,,
d3,2668,closed,-,-,-,0,5,2,,,,,,,,
d3,2693,closed,opened,2015-12-23 21:19:13,,,,,,,,,,,,
d3,2693,closed,title,2015-12-23 21:19:13,00:00,,1,,"b""b' added uk_UA locale'""",,,,,,,
d3,2693,closed,body,2015-12-23 21:19:13,00:00,,1,,"b""b' added uk_Ua locale as well as some tests'""",,,,,,,
d3,2693,closed,closed,2015-12-30 08:02:21,643.13,0,2,0,,,,,,,,
d3,2693,closed,1,2015-12-23 21:19:13,975.25,,1,,"b'b"" @ieaglle Why isn\'t it merged into mbostock:master?""'",,,,,,,
d3,2693,closed,2,2015-12-23 21:19:13,1331.48,,1,,"b'b"" @drimacus182 I\'ve found a spelling error", canceled," and forgot about that. I probably should proceed with this.""'",,,,,
d3,2693,closed,3,2015-12-23 21:19:13,178.08,,,1,"b""b' @ieaglle It would be nice)'""",,,,,,,
d3,2693,closed,reopened,2016-03-02 11:34:18,211.95,0,4,1,,,,,,,,
d3,2693,closed,4,2015-12-23 21:19:13,285.07,,1,,"b""b' I have added these to d3-format and d3-time-format and they will be published to  on the next patch releases.'""",,,,,,,
d3,2693,closed,closed,2016-07-14 19:29:08,474.83,0,5,1,,,,,,,,
d3,2693,closed,-,-,-,0,5,1,,,,,,,,
