REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,
finagle,207,closed,14,2013-10-18 19:42:03,75.33,,,1,"b""b' Awesome.  @jdanbrown let me know if you need any help.'""",,,,,,,,,,,,,,,,,,
finagle,207,closed,15,2013-10-18 19:42:03,310.63,,1,,"b'b"" Yeah"," Netty has an asynchronous DNS resolution facility which came from last year\'s GSoC.  It has not been merged yet because it needs some clean-up.  Will let you know once it\'s ready to go.""'",,,,,,,,,,,,,,,,,
finagle,207,closed,16,2013-10-18 19:42:03,1092.37,,1,,"b""b' @agleyzer @jdanbrown looks like this fell through the cracks"," do either of you have the bandwidth to take this on?'""",,,,,,,,,,,,,,,,,
finagle,207,closed,17,2013-10-18 19:42:03,823.52,,1,,"b'b"" @mosesn ", we are using the DNS Resolver written by @agleyzer in our product," and it works well. Can I know what is the progress to support automatically DNS resolving in finagle? I can help on issue if @agleyzer doesn\'t have time.""'",,,,,,,,,,,,,,,,
finagle,207,closed,18,2013-10-18 19:42:03,293.6,,,1,"b'b"" Sure", if you want to take it on, we\'d be glad to take your PR.  None of us at twitter has the bandwidth to do it," so it will have to be community driven.""'",,,,,,,,,,,,,,,
finagle,207,closed,19,2013-10-18 19:42:03,17.85,,1,,"b""b' I might have some free time later in July but have no problem if someonegets there sooner. On Wed", Jun 11, 2014 at 10:30 AM," Moses Nakamura notifications@wrote:'""",,,,,,,,,,,,,,,
finagle,207,closed,20,2013-10-18 19:42:03,211.7,1,,,"b'b"" @mosesn @agleyzer @jixu Yeah", sorry, I dropped the ball on this. I still intend to do it eventually, but @jixu feel free to jump on it sooner if you want. Either way," I\'ll follow up here before I spend much time on it to make sure I\'m not racing with someone else.""'",,,,,,,,,,,,,,
finagle,207,closed,21,2013-10-18 19:42:03,1178.53,,1,,"b""b' @mosesn I have created a pull request for this issue:url Please help to review when you have time.'""",,,,,,,,,,,,,,,,,,
finagle,207,closed,22,2013-10-18 19:42:03,261.7,,,1,"b'b"" #282 implemented this"," so I\'m going to close this PR.  Thanks to @jixu and @agleyzer for this super cool feature!""'",,,,,,,,,,,,,,,,,
finagle,207,closed,closed,2014-08-06 18:19:59,1433.9,3,11,10,,,,,,,,,,,,,,,,,,,
finagle,207,closed,-,-,-,3,11,10,,,,,,,,,,,,,,,,,,,
finagle,212,closed,opened,2013-10-28 23:46:50,,,,,,,,,,,,,,,,,,,,,,,
finagle,212,closed,title,2013-10-28 23:46:50,00:00,,1,,"b""b' Fixed documentation import'""",,,,,,,,,,,,,,,,,,
finagle,212,closed,body,2013-10-28 23:46:50,00:00,,1,,"b'b"" This doesn\'t compile as-is because of the extra Future in the import.  Also", I removed the Await," which appears to be unused in this example.""'",,,,,,,,,,,,,,,,
finagle,212,closed,1,2013-10-28 23:46:50,1054.9,,,1,"b""b' This has since been fixed.  Thanks!'""",,,,,,,,,,,,,,,,,,
finagle,212,closed,closed,2013-12-20 17:21:44,1054.9,0,2,1,,,,,,,,,,,,,,,,,,,
finagle,212,closed,2,2013-10-28 23:46:50,1.18,1,,,"b'b"" Oops", I got confused," didn\'t realize this was in a comment.  I\'ll get this pulled internally.""'",,,,,,,,,,,,,,,,
finagle,212,closed,reopened,2013-12-20 17:22:56,1.2,1,2,1,,,,,,,,,,,,,,,,,,,
finagle,212,closed,3,2013-10-28 23:46:50,1268.6,,1,,"b'b"" This has been merged internally"," you\'ll see it up here in a little while.""'",,,,,,,,,,,,,,,,,
finagle,212,closed,closed,2014-01-03 14:31:44,1268.8,1,3,1,,,,,,,,,,,,,,,,,,,
finagle,212,closed,4,2013-10-28 23:46:50,83.82,,,1,"b""b' Awesome"," thanks'""",,,,,,,,,,,,,,,,,
finagle,212,closed,-,-,-,1,3,2,,,,,,,,,,,,,,,,,,,
finagle,217,closed,opened,2013-11-08 21:47:40,,,,,,,,,,,,,,,,,,,,,,,
finagle,217,closed,title,2013-11-08 21:47:40,00:00,,1,,"b""b' Update Netty from 3.7.0 to 3.8.0'""",,,,,,,,,,,,,,,,,,
finagle,217,closed,body,2013-11-08 21:47:40,00:00,,1,,"b""b' url '""",,,,,,,,,,,,,,,,,,
finagle,217,closed,1,2013-11-08 21:47:40,11.87,,1,,"b""b' We are already testing the Netty 3.8 internally"," it will be available here soon.'""",,,,,,,,,,,,,,,,,
finagle,217,closed,closed,2013-11-08 22:01:25,13.75,0,3,0,,,,,,,,,,,,,,,,,,,
finagle,217,closed,reopened,2013-11-08 22:01:37,0.2,0,3,0,,,,,,,,,,,,,,,,,,,
finagle,217,closed,2,2013-11-08 21:47:40,30.2,,,1,"b'b"" Thanks. I intend to do the update and send pull request", but since you are already doing that," it\'s better you finish it.""'",,,,,,,,,,,,,,,,
finagle,217,closed,3,2013-11-08 21:47:40,10.02,,,1,"b'b"" There\'s some trickiness with the backport of http headers from netty 4 that collides with our headers map in finagle.  If you want to take a look at it"," we\'d appreciate it.""'",,,,,,,,,,,,,,,,,
finagle,217,closed,4,2013-11-08 21:47:40,8.13,,1,,"b'b"" Yes. I\'m developing Xitrum url  which is based on Netty too. I\'m seeing warnings like below when updating Xitrum: url ""'",,,,,,,,,,,,,,,,,,
finagle,217,closed,5,2013-11-08 21:47:40,59.32,,1,,"b'b"" Please see this pull request (there\'s also commit about README):url ""'",,,,,,,,,,,,,,,,,,
finagle,217,closed,6,2013-11-08 21:47:40,24.5,,1,,"b""b' Does Twitter plan to update Netty from 3.x to 4.x soon? About when?'""",,,,,,,,,,,,,,,,,,
finagle,217,closed,7,2013-11-08 21:47:40,338.45,,1,,"b'b"" I thought it\'s just matter of replacing most header access calls with headers().*(). Let me know if you need any help on this. Sent from a mobile device.url url url  -Original Message-From: Brian Degenhardt notifications@To:  finagle@Sent: \\xed\\x86\\xa0", 09 11\\xec\\x9b\\x94 2013 7:40 \\xec\\x98\\xa4\\xec\\xa0\\x84Subject: Re: [finagle] Update Netty from 3.7.0 to 3.8.0 (#217) There\'s some trickiness with the backport of http headers from netty 4 that collides with our headers map in finagle.  If you want to take a look at it," we\'d appreciate it. Reply to this email directly or view it on GitHub:url ""'",,,,,,,,,,,,,,,,
finagle,217,closed,8,2013-11-08 21:47:40,74.48,,1,,"b""b' Actually someone is already working on that right now"," it should be available very soon.'""",,,,,,,,,,,,,,,,,
finagle,217,closed,9,2013-11-08 21:47:40,614.6,,1,,"b""b' Netty is now on 3.8.0.Final.'""",,,,,,,,,,,,,,,,,,
finagle,217,closed,closed,2013-12-20 17:19:14,1157.62,0,9,2,,,,,,,,,,,,,,,,,,,
finagle,217,closed,-,-,-,0,9,2,,,,,,,,,,,,,,,,,,,
finagle,227,closed,opened,2013-12-02 10:01:40,,,,,,,,,,,,,,,,,,,,,,,
finagle,227,closed,title,2013-12-02 10:01:40,00:00,,1,,"b'b"" DefaultServer\'s closeServer function seems to close the connections to early""'",,,,,,,,,,,,,,,,,,
finagle,227,closed,body,2013-12-02 10:01:40,00:00,,,1,b'b\' Hi, I experience problem when i try to close a server while a request is still running. It results in a ChannelClosedException. Here is my Testcase: I\\\'ve found out so far," that it has something to do with how the connections are closed. In the DefaultServer\\\'s closeServer function a close on ""connections"" is emitted which calls the close function of SerialServerDispatcher. The SerialServerDispatcher calls the close function of ClientChannelTransport (including the deadline parameter)", but in this function the deadline isn\\\'t used anymore and it seems to closed asap. Is this a bug or am I doing something wrong? Thanks for your help!\'',,,,,,,,,,,,,,,
finagle,227,closed,1,2013-12-02 10:01:40,935.63,,,1,"b'b"" Technically [the deadline given to is advisory]url  so it\'s not guaranteed that it\'s adhered to all the way down the stack. That being said", it would be nice if we could wait until either is empty or the duration is expired within  . It\'s not clear how you\'d cleanly do this though," given the lack of asynchronous Netty Channel APIs.""'",,,,,,,,,,,,,,,,
finagle,227,closed,closed,2013-12-05 06:53:31,1251.85,0,1,2,,,,,,,,,,,,,,,,,,,
finagle,227,closed,reopened,2013-12-05 06:53:40,0.15,0,1,2,,,,,,,,,,,,,,,,,,,
finagle,227,closed,2,2013-12-02 10:01:40,320.92,1,,,"b'b"" Sorry", accidental close. Yeah, we have ReferenceCountingFilter for the client side, but it\'s not correct for the server side, because the Service on the client side encapsulates the entire request end to end, but on the server side, the Service is just shelled out to by the Server.  We can try adding something to the Pipeline to detect when all of the bytes for all of the requests have left the Channel.  That might work.  We could increment a counter for when a request comes in and decrement when the response goes out," or when the connection gets closed / dropped.""'",,,,,,,,,,,
finagle,227,closed,3,2013-12-02 10:01:40,119.08,,,1,"b""b' Thanks for the replies! How do you handle this at twitter? Is there any best practice to shutdown a finagle server (considering the  problem)?'""",,,,,,,,,,,,,,,,,,
finagle,227,closed,4,2013-12-02 10:01:40,509.52,,1,,"b""b' This issue should have been taken care of by [this commit]url  Here a bit of backstory from the internal code review:'""",,,,,,,,,,,,,,,,,,
finagle,227,closed,closed,2014-02-28 17:26:49,633.15,1,2,3,,,,,,,,,,,,,,,,,,,
finagle,227,closed,-,-,-,1,2,3,,,,,,,,,,,,,,,,,,,
finagle,229,closed,opened,2013-12-07 14:20:46,,,,,,,,,,,,,,,,,,,,,,,
finagle,229,closed,title,2013-12-07 14:20:46,00:00,,1,,"b""b' Futures documentation seems to be deprecated'""",,,,,,,,,,,,,,,,,,
finagle,229,closed,body,2013-12-07 14:20:46,00:00,,,1,"b""b' Hi! All the examples for Futures here: url  seem to be outdated specially when concerned about timeouts.'""",,,,,,,,,,,,,,,,,,
finagle,229,closed,1,2013-12-07 14:20:46,216.68,,,1,"b'b"" Up to date docs can be found at the finagle [user guide]url We\'ll add a note to the finagle README that it\'s out of date"," but we\'re not going to remove it yet because the user guide doesn\'t quite have parity.  We\'d love to get some pull requests for better docs though!""'",,,,,,,,,,,,,,,,,
finagle,229,closed,closed,2013-12-07 17:57:27,216.68,0,1,2,,,,,,,,,,,,,,,,,,,
finagle,229,closed,2,2013-12-07 14:20:46,0.5,1,,,"b""b' oops"," closed accidentally.  reopening until the note actually shows up on the README.'""",,,,,,,,,,,,,,,,,
finagle,229,closed,reopened,2013-12-07 17:57:57,0.5,1,1,2,,,,,,,,,,,,,,,,,,,
finagle,229,closed,3,2013-12-07 14:20:46,1410.72,,,1,"b'b"" It would be great if the user guide would have a chapter about timing out futures. I haven\'t found any other documentation that would mention them. It seems that the twitter future API has just gone through larger rewrite and the changes are not really documented anywhere.""'",,,,,,,,,,,,,,,,,,
finagle,229,closed,4,2013-12-07 14:20:46,1.1,1,,,"b""b' @hgavert The Future API has remained remarkably stable actually;  has", to my recollection," always been \\xe2\\x80\\x9cthe way\\xe2\\x80\\x9d to apply a timeout to a Future.'""",,,,,,,,,,,,,,,,
finagle,229,closed,closed,2014-02-28 15:28:45,1290.8,2,1,3,,,,,,,,,,,,,,,,,,,
finagle,229,closed,-,-,-,2,1,3,,,,,,,,,,,,,,,,,,,
finagle,245,closed,opened,2014-02-24 07:03:15,,,,,,,,,,,,,,,,,,,,,,,
finagle,245,closed,title,2014-02-24 07:03:15,00:00,,1,,"b""b' finagle-redis: Allow an empty string as a hash field value'""",,,,,,,,,,,,,,,,,,
finagle,245,closed,body,2014-02-24 07:03:15,00:00,,1,,b'b\' Motivations:To fix the bug #244 according to RESP at url  Modifications:1. Encoding In ," we allow """" to be encoded as a normal argument by removing the if guard on ( == 0)2. Decoding In "," decode \\\'$0\\\\r\\\\n\\\\r\\\\n\\\' to a BulkReply of """" instead of a EmptyBulkReply. Also removed the requirement of a BulkRelay not allowed to have """" as payload (Though I am not quite sure about the side-effect ).3. And the tests in both  and  Results:  The tests in  and  passed. And now we can have the empty string as the hash field value.\''",,,,,,,,,,,,,,,,
finagle,245,closed,1,2014-02-24 07:03:15,753.63,,,1,"b'b"" lgtm"," after you address Moses\' comments!""'",,,,,,,,,,,,,,,,,
finagle,245,closed,2,2014-02-24 07:03:15,540.87,,1,,"b""b' Also", please note that **many other commands** have the same issue, among which are Set, GetSet, PSetEx, SetEx, SetNx," etc. Please let me know if I can do anything.'""",,,,,,,,,,,
finagle,245,closed,3,2014-02-24 07:03:15,60.1,,,1,b'b\' Would love to see fixes for those too! Good catch.On Feb 24, 2014 11:37 PM,"zhanggl"" notifications@ wrote:\''
finagle	245	closed	closed	 - 	2014-02-25 09:14:10	130.92	0	3	2
finagle	245	closed	reopened	 - 	2014-02-25 09:14:24	0.23	0	3	2
finagle	245	closed	4	zhanggl	2014-02-24 07:03:15	227.0			+1	b'b\' Since I do not know much about the big picture, shall we just update as the following snippet. Or should remove the mixin of from all related commands? trait StrictValueCommand extends ValueCommand {  RequireClientProtocol(value != null ~~&&~~ ~~value~~.~~readableBytes~~ ~~  ""Found unexpected empty value"")}\''
finagle	245	closed	5	mosesn	2014-02-24 07:03:15	220.25			+1	b""b' @zhanggl removing StrictValueCommand sounds good to me.  Actually, removing everything in url  is probably fine.  However, it massively explodes the scope of this PR.  Maybe we should leave this one for now and do the other ones in other PRs?'",,,,,,,,,,,,,,,,
finagle,245,closed,6,2014-02-24 07:03:15,29.37,,1,,"b""b' @mosesn Totally agree with you. One thing at a time.'""",,,,,,,,,,,,,,,,,,
finagle,245,closed,7,2014-02-24 07:03:15,147.8,,,1,"b'b"" Alright"," I\'m happy with this.  I\'m going to put it through internal review and see what happens.  Thanks for your submission!  I\'ll let you know the results of internal review soon.""'",,,,,,,,,,,,,,,,,
finagle,245,closed,8,2014-02-24 07:03:15,535.92,,,1,"b""b' This was merged internally"," and should show up on github shortly.  Thanks!  Let me know if you want help with the other CommandTypes.'""",,,,,,,,,,,,,,,,,
finagle,245,closed,closed,2014-02-26 00:58:11,943.78,0,4,6,,,,,,,,,,,,,,,,,,,
finagle,245,closed,9,2014-02-24 07:03:15,14.82,,,1,"b'b"" Great! Thanks! I learned a lot. I\'d love to do more. Really enjoy it.""'",,,,,,,,,,,,,,,,,,
finagle,245,closed,10,2014-02-24 07:03:15,1002.98,,1,,"b'b"" @mosesn  I\'ve just faced and fixed the same issue with  .  See ad2d2912e9a2e2c6116238dfe0da8ec489002381 Maybe should wait for my last PR to show up here before I submit this one(I\'m still on the same branch).""'",,,,,,,,,,,,,,,,,,
finagle,245,closed,11,2014-02-24 07:03:15,1022.42,1,,,"b""b' Also"," this _reset_ thing [here]url  on a being caught costs me a lot to finally figure out the strange behavior(_A command gets a unexpected response_).  Would it make sense to let the popup to the upper layer instead of returning undesirable replies?'""",,,,,,,,,,,,,,,,,
finagle,245,closed,12,2014-02-24 07:03:15,125.0,,1,,"b'b"" @zhanggl no need to wait", the two changes aren\'t dependent.  feel free to put up a new PR whenever you like. It looks like the it rethrows the throwable.  I\'m not certain I understand the issue that you\'re running into," could you elaborate?""'",,,,,,,,,,,,,,,,
finagle,245,closed,13,2014-02-24 07:03:15,214.25,1,,,"b""b'   I think we should give some meaningful messages to users like which helps when debugging a problem. And", upon an exception when decoding raw data from Netty," would it be better to abort the decoding operation and discard un-handled data rather than wasting computation resources to construct an useless reply which would most likely to be discarded later on by users?'""",,,,,,,,,,,,,,,,
finagle,245,closed,14,2014-02-24 07:03:15,242.48,,1,,"b'b"" Improving the error messages sounds like a good idea to me. I think that we do abort the computationisn\'t that what happens when we throw in the section you linked me to before?  It doesn\'t look to me like we continue processing.  Could you explain in what circumstances we can continue processing?""'",,,,,,,,,,,,,,,,,,
finagle,245,closed,15,2014-02-24 07:03:15,259.07,,1,,"b'b"" Given a MBULK input  we end up with a result", which should not have happened if the **whole operation** was aborted when processing the empty line before reaching  . It looks like after the reset," we started over again and treated the left data as  . I haven\'t check the implementation details yet.""'",,,,,,,,,,,,,,,,
finagle,245,closed,16,2014-02-24 07:03:15,278.72,,1,,"b""b' Alright"," seems like that might be another bug.  Let me know what you find.'""",,,,,,,,,,,,,,,,,
finagle,245,closed,-,-,-,2,9,7,,,,,,,,,,,,,,,,,,,
finagle,248,closed,opened,2014-03-05 13:42:12,,,,,,,,,,,,,,,,,,,,,,,
finagle,248,closed,title,2014-03-05 13:42:12,00:00,,1,,"b""b' finagle-redis: Add SINTER command to redis client'""",,,,,,,,,,,,,,,,,,
finagle,248,closed,body,2014-03-05 13:42:12,00:00,,1,,"b""b' Hi", I noticed that the SINTER command was missing from the finagle-redis client when I tried to use it," so I added it in. Tested with Scala 2.10.0 and Redis server version 2.6.12.'""",,,,,,,,,,,,,,,,
finagle,248,closed,1,2014-03-05 13:42:12,102.98,,,1,"b""b' Could you add some NaggatiSpec tests?  Other than that", and a few other small changes," looks good!'""",,,,,,,,,,,,,,,,
finagle,248,closed,2,2014-03-05 13:42:12,170.6,,,1,"b""b' lgtm!'""",,,,,,,,,,,,,,,,,,
finagle,248,closed,3,2014-03-05 13:42:12,256.42,,1,,"b""b' merged internally"," should sync up here next release.'""",,,,,,,,,,,,,,,,,
finagle,248,closed,closed,2014-03-16 21:37:07,474.92,0,3,2,,,,,,,,,,,,,,,,,,,
finagle,248,closed,reopened,2014-03-16 21:37:41,0.57,0,3,2,,,,,,,,,,,,,,,,,,,
finagle,248,closed,closed,2014-03-17 23:21:00,103.32,0,3,2,,,,,,,,,,,,,,,,,,,
finagle,248,closed,-,-,-,0,3,2,,,,,,,,,,,,,,,,,,,
finagle,388,closed,opened,2015-06-25 15:56:17,,,,,,,,,,,,,,,,,,,,,,,
finagle,388,closed,title,2015-06-25 15:56:17,00:00,,1,,"b""b' finagle_httpx version in  will not work'""",,,,,,,,,,,,,,,,,,
finagle,388,closed,body,2015-06-25 15:56:17,00:00,,,1,"b'b"" It\'s 6.26.0 in the newest commit", however, it will not work: Then I changed it to 6.24.0," everything is fine.""'",,,,,,,,,,,,,,,
finagle,388,closed,1,2015-06-25 15:56:17,24.5,1,,,"b'b"" @VELVETDETH we\'re in the middle of publishing the 6.26 artifacts but there is a lag between the docsite being updated and the binaries being released so sorry for the confusion. In the mean time you can still use 6.25.0 of the finagle-\\\\* packages and all of the quickstart docs should still run.""'",,,,,,,,,,,,,,,,,,
finagle,388,closed,2,2015-06-25 15:56:17,2.48,,,1,"b""b' @dschobel Thanks for your comment", now I understand. Still," Finagle rocks'""",,,,,,,,,,,,,,,,
finagle,388,closed,closed,2015-06-25 16:23:16,26.98,1,1,2,,,,,,,,,,,,,,,,,,,
finagle,388,closed,3,2015-06-25 15:56:17,0.63,1,,,"b""b' Sorry but should I close this issue @dschobel ?'""",,,,,,,,,,,,,,,,,,
finagle,388,closed,4,2015-06-25 15:56:17,4.58,,1,,"b'b"" @VELVETDETH let\'s keep it open until the binaries are released since it\'s a legitimate issue. I\'ll take a look at the release process to see if we can hold docsite publication until after the binaries are available going forward.""'",,,,,,,,,,,,,,,,,,
finagle,388,closed,reopened,2015-06-25 16:28:29,5.22,2,2,2,,,,,,,,,,,,,,,,,,,
finagle,388,closed,5,2015-06-25 15:56:17,768.6,,1,,"b""b' 6.26.0 has been published and the example works again.'""",,,,,,,,,,,,,,,,,,
finagle,388,closed,closed,2015-07-01 05:17:05,768.6,2,3,2,,,,,,,,,,,,,,,,,,,
finagle,388,closed,-,-,-,2,3,2,,,,,,,,,,,,,,,,,,,
finagle,396,closed,opened,2015-07-18 22:25:15,,,,,,,,,,,,,,,,,,,,,,,
finagle,396,closed,title,2015-07-18 22:25:15,00:00,,1,,"b""b' Introduce ServiceFactorySocketAddress so that Names may bind local services.'""",,,,,,,,,,,,,,,,,,
finagle,396,closed,body,2015-07-18 22:25:15,00:00,,,1,"b""b' Problem: When building a client using a Namei.e. via Dtabsthere is no mechanism tocause a client to bind to a local Service reference.  Consider the following example: A programzoothat exposes exposes an http endpoint /; and satisfying these requests requires a downstream client to a service/. We may typically run zoo with a base dtab like: /s =/ may be served by a downstream service", but it may also beserved from directly within the process (e.g. by an in-memory buffer).This situation may arise when migrating functionality betweenprocesses (e.g. decomposing a service) or mocking downstreamclients. In these cases, we want these requests routed in-process witha dentry like: / =The workaround today is to have zoo bind to an ephemeral port andcontrol redirects to that ephemeral port: /localPort =  / =However," this approach incurs a full roundtrip through the networking stack. '""",,,,,,,,,,,,,,,
finagle,396,closed,1,2015-07-18 22:25:15,0.18,,1,,"b""b' per discussion with @mariusae '""",,,,,,,,,,,,,,,,,,
finagle,396,closed,2,2015-07-18 22:25:15,118.12,,1,,"b'b"" Are you planning on adding a new Resolver in a future PR? I\'m a little worried about adding all of these different kinds of SocketAddress (like the Weighted one we added before) because I think we have some code which looks explicitly for InetSocketAddress.  Since the SocketAddress interface is so thin", does it make sense to start providing typeclasses for the extra behavior that we want from some SocketAddresses?  (I actually don\'t know what we\'re looking for). From a quick search around: None of these is relevant for the ServiceFactorySocketAddress," but a few could be relevant for the WeightedSocketAddress.""'",,,,,,,,,,,,,,,,
finagle,396,closed,3,2015-07-18 22:25:15,916.03,,1,,"b""b' I think the right thing to do here is", in effect, not use InetSocketAddr subclasses directly, but rather create our own wrapper type," ideally a sealed ADT.'""",,,,,,,,,,,,,,
finagle,396,closed,4,2015-07-18 22:25:15,100.88,,1,,"b'b"" also", i should point out that this obviously can\'t be type-safe end-to-end; and this is Okay. Today, we have no assurances with regard to the protocol of a named service and so we can\'t differentiate i.e. http and thrift interfaces at the name-level.  So this at least isn\'t a regression feature-wise," though we can encounter runtime cast exceptions. @mosesn I added a ServiceNamer trait that makes it easy to build Service-backed namers. I don\'t think it\'s necessary to wire this through the Resolver interface unless there\'s a compelling reason.""'",,,,,,,,,,,,,,,
finagle,396,closed,5,2015-07-18 22:25:15,16.72,,,1,"b'b"" @olix0r The problem statement doesn\'t explain  this would be useful. Can you please add more details about the motivation for this?""'",,,,,,,,,,,,,,,,,,
finagle,396,closed,6,2015-07-18 22:25:15,29.35,,,1,"b'b"" @roanta consider the following: Let\'s say I have a program_zoo_that exposes exposes an httpendpoint  ; and satisfying these requests requires adownstream client to a service-. We may typically run _zoo_ with a base dtab like:   may be served by a downstream service", but it may also beserved from directly within the process (e.g. by an in-memory buffer).This situation may arise when migrating functionality betweenprocesses (e.g. decomposing a service) or mocking downstreamclients. In these cases, we want these requests routed in-process witha dentry like: The workaround today is to have _zoo_ bind to an ephemeral port andcontrol redirects to that ephemeral port: However," this approach incurs a full serialization roundtrip.  Theproposed change allows us to bypass the entire networking stack forlocal requests.""'",,,,,,,,,,,,,,,
finagle,396,closed,7,2015-07-18 22:25:15,179.2,,,1,"b'b"" @mariusae yeah", I think you\'re right.  I\'ll file a ticket internally. :shipit: this looks fine to me," although I still don\'t love the implicit cast.""'",,,,,,,,,,,,,,,,
finagle,396,closed,8,2015-07-18 22:25:15,17.72,,1,,"b'b"" @mosesn made it invariant.  It _could_ vary to let subclasses maintain Service-type flexibility but I think this isn\'t a concern practically.""'",,,,,,,,,,,,,,,,,,
finagle,396,closed,9,2015-07-18 22:25:15,39.73,1,,,"b'b"" @olix0r I don\'t think there\'s harm in having a verbose problem statement. If there\'s no objection"," maybe we can update the problem statement with the information in your last comment.""'",,,,,,,,,,,,,,,,,
finagle,396,closed,10,2015-07-18 22:25:15,341.0,,,1,"b""b' @olix0r cool"," this seems like a nice patch.'""",,,,,,,,,,,,,,,,,
finagle,396,closed,11,2015-07-18 22:25:15,1427.42,,,1,"b""b' This has been merged internally (by @luciferous). Thanks @olix0r!'""",,,,,,,,,,,,,,,,,,
finagle,396,closed,closed,2015-07-22 03:31:36,306.35,1,6,6,,,,,,,,,,,,,,,,,,,
finagle,396,closed,reopened,2015-07-22 06:47:47,196.18,1,6,6,,,,,,,,,,,,,,,,,,,
finagle,396,closed,closed,2015-07-27 21:45:32,897.75,1,6,6,,,,,,,,,,,,,,,,,,,
