REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,
finagle,517,closed,8,2016-06-17 00:12:32,22.83,,,1,"b""b' It appears that the response: is marked as chunked(!). While a request with an explicit content-length is correctly marked as not chunked: The problem is not exhibited when explicitly setting a content-length.  From Netty3StreamTransport: When chunked is false", onFinish=, and so ConnectionManager marks the request as immediately.  In the chunked case, onFinish is not satisfied until the body is exhausted, and so is false until this condition is met.  I believe that new requests may enter the connection between this response and the chunked response being fully read. So," this problem is exhibited with chunked responses on which is set (as is the case in the [original ticket]url '""",,,,,,,,,,,,,
finagle,517,closed,9,2016-06-17 00:12:32,12.95,1,,,"b'b"" And I\'ve reproduced this problem in netty4"," so it\'s not limited to a single netty version.  My guess is that netty4 doesn\'t treat as a chunked message and so it did not exhibit this error. When [forcibly setting a chunked response with  ]url  I can reproduce this problem in either netty version.""'",,,,,,,,,,,,,,,,,
finagle,517,closed,10,2016-06-17 00:12:32,65.92,,1,,"b'b"" I added debug logging to HttpTransport to report on read()", write() and status: Issuing the the request:receiving the response: is _false_ beecause was set, but is false because is false because the response stream has not ended yet...Something checks the transport\'s status after the response is satisfied. The status is reported as Open because the response chunk\'s onFuture hasn\'t been satisfied:Then, read\'s onFinish is satisfied (indicating the chunk response is complete).Then, another request is immediately written on the transport:Finally," we observe the connection closed exception after the write is attempted:""'",,,,,,,,,,,,,
finagle,517,closed,11,2016-06-17 00:12:32,167.37,,1,,"b'b"" OK"," so it sounds like that\'s it?  We should add some extra state to ConnectionManager to keep track of whether we\'ve ever seen an that\'s false?""'",,,,,,,,,,,,,,,,,
finagle,517,closed,12,2016-06-17 00:12:32,1129.75,,1,,"b'b"" I think I understand the issue now: We have a client stack somewhat like the following:...FactoryToService...WatermarkPoolCachingPool...HttpClientDispatcher  HttpTransport  ConnectionManager When a response is read in the HttpTransport", it is passed through _(rep, onFinish)_. The response has and  , and so the ConnectionManager is set with and (and so __ returns false). The HttpClient dispatcher essentially works as follows: There are two important events that occur when handling a response: First, the response promise is satisfied.  This causes FactoryToService to close the underlying service: When FactoryToService calls _()_, _()_ checks the _status_ of the underlying transport. This status check reports Open because  __ returns false (because readFinished hasn\'t been satisfied yet), and the service is returned to CachingPool\'s cache. At this point, a new request is received by the client and a ServiceFactory is acquired from the CachingPool. Unfortunately, the caching pool returns the same service factory that\'s currently being used to complete the initial response-the one that\'s about to close. The http client dispatcher tries to dispatch the request, but it cannot do so until the dispatcher\'s semaphore is released (and so it waits on _acquire()_). Then, the initial response\'s _readFinished_ future is satisfied and the client dispatcher releases the semaphore, allowing the second request to be dispatched & written. By then, the server has already town down the connection, and writing the second request fails with a ConnectionClosedException. So, the root of the problem is that FactoryToService closes the service once the response is satisfied and before the response stream has finished.  We wouldn\'t see this problem if close() was called after the response stream was finished, but there doesn\'t appear to be an API for receiving this notification outside of the dispatcher. Another option is to change the  to indicate status as Closed as soon the response is observed. I\'m unsure of the implications of indicating that the Dispatcher is Closed while it\'s still processing a stream," but I\'m concerned that this may cause the stream to be torn down prematurely.""'",,
finagle,517,closed,13,2016-06-17 00:12:32,324.18,,1,,"b""b' This is an issue with linkerd -I inserted a FactoryToService without a DelayedReleaseService under it. Inserting DelayedReleaseService fixes this issue. :tmyk:'""",,,,,,,,,,,,,,,,,,
finagle,517,closed,closed,2016-06-19 00:43:16,30.73,2,10,3,,,,,,,,,,,,,,,,,,,
finagle,517,closed,14,2016-06-17 00:12:32,1155.18,,1,,"b'b"" Reopening to discuss another (seemingly related) issue. Adding a DelayedFactoryService under FactoryToService does indeed appear to fix this issue.  However", when I test this configuration against Netty4, I still observe connection closed errors (though at a much lower frequency than before). Here\'s what I think is happening: We have a stack like:FactoryToServiceDelayedReleaseService...CachingPool...HttpClientDispatcher  HttpTransport  netty4.ChannelTransport  ConnectionManager Sometimes the server responds with a message that has Usually, the client handles this properly such that:The response is received on the transportConnectionManager observes the responses, marking _isKeepAlive=false_. _activeStreams_ is set to _1_ since the response has not completed yet.FactoryToService begins closing the underlying serviceDelayedReleaseService prevents the underlying service from closing until the response is completeThe response body is read.The ConnectionManager is updated, marking _activeStreams=0_ so that _shouldClose_ returns true.DelayedReleaseService observes the stream completion and closes the underlying serviceCachingPool checks the status of the underlying service which is _Closed_, and the transport is torn down. However, _sometimes_ we observe the following:The response is received on the transportConnectionManager observes the responses, marking _isKeepAlive=false_. _activeStreams_ is set to _1_ since the response has not completed yet.FactoryToService begins closing the underlying serviceDelayedReleaseService prevents the underlying service from closing until the response is completeThe response body is read.DelayedReleaseService observes the stream completion and closes the underlying serviceCachingPool checks the status of the underlying service which is _Open_ (because ConnectionManager has not updated yet), and the transport is returned to CachingPool.A new request is processed, and provisions the cached transport from CachingPool.The ConnectionManager is updated, marking _activeStreams=0_ so that _shouldClose_ returns true, but it\'s already too late because the transport is not checked. So, I think it\'s possible that DelayedReleaseService observes that the stream has been completed and closes the service before the ConnectionManager has observed this event. DelayedReleaseService wraps responses so that a promise is satisfied when the reader observes a stream termination. ConnectionManager uses the future returned from from: So," I think this means that a reader\'s read promise may be satisfied before a writer\'s write-promise is? I\'m not sure why this race only appears to manifest with Netty4. Netty3\'s copyToWriter looks like: This seems ~equivalent and I\'m not sure  this could change ordering semantics.""'",,,,
finagle,517,closed,reopened,2016-06-20 19:58:27,1155.18,2,11,3,,,,,,,,,,,,,,,,,,,
finagle,517,closed,15,2016-06-17 00:12:32,6.58,,,1,"b""b' It does appear that () may satisfy read promises before write promises are satisfied: I think that this could cause DelayedReleaseService to observe end-of-stream before HttpTransport.'""",,,,,,,,,,,,,,,,,,
finagle,517,closed,16,2016-06-17 00:12:32,139.87,,1,,"b'b"" It seems that a minor change to  resolves this: This causes the collation future to be satisfied before the reader is closed", so that the transport may observe the state before other readers do.  I\'ll test this a bit longer and, if the error does not appear," submit a PR""'",,,,,,,,,,,,,,,
finagle,517,closed,17,2016-06-17 00:12:32,78.82,,,1,"b'b"" @olix0r nice sleuthing. One thing to consider is that this (and the n3 impl) rely on the implementation details of the scheduler to ensure that the closures are ordered correctly. @dschobel and I were looking into this and we agreed that it might be nice to explore doing away with and reconciling outstanding streams in the pool. We could change the status of the service to via and defer on the decision to close or put it back into the pool until it changes. This would be a bigger change", but I think it would make the code much easier to understand and reason about. If it\'s not something you\'re interested in exploring," I\'m okay with the scheduler coupling since its effectively what we had before.""'",,,,,,,,,,,,,,,,
finagle,517,closed,18,2016-06-17 00:12:32,16.55,,,1,"b'b"" @roanta interesting!  @adleong and I were just discussing how #518 is scheduler-dependent and more of a hack than a fix... I\'m interested in improving this", but, if it\'s amenable to you," I think I\'d prefer to ship the hack while we sort out what the proper solution looks like.""'",,,,,,,,,,,,,,,
finagle,517,closed,19,2016-06-17 00:12:32,1058.45,,,1,"b'b"" @olix0r that works for me. I\'ll work towards pulling in #518. Thanks again for digging into this.""'",,,,,,,,,,,,,,,,,,
finagle,517,closed,closed,2016-06-27 20:01:19,2.87,2,12,7,,,,,,,,,,,,,,,,,,,
finagle,517,closed,-,-,-,2,12,7,,,,,,,,,,,,,,,,,,,
finagle,543,closed,opened,2016-08-16 21:10:33,,,,,,,,,,,,,,,,,,,,,,,
finagle,543,closed,title,2016-08-16 21:10:33,00:00,,1,,"b""b' finagle-redis: Enable running integration tests in finagle-redis.'""",,,,,,,,,,,,,,,,,,
finagle,543,closed,body,2016-08-16 21:10:33,00:00,,1,,"b'b"" Problem Unit tests and integration tests are mixed in the finagle-redis projectunder the test path. In addition", the SBT configuration is only runningunit tests. This partially solves issue #360. Solution Moved the integration test files to the  path from . Extracted traitsused for integration tests and created a new file in the  path. Addedconfiguration for IntegrationTest in the finagle-redis project. A summary of the changes adopted from PR url Run integration tests using  Tested using Redis 3.2Removed btree and topology tests since this is not part of the official releaseFixed scans by replacing PATTERN with MATCHUpdated the expected DUMP results, seems this differs between versions.Fixed a bug when running sentinel tests," not all servers shutdown correctlyFixed sentinel protocol to use link-pending-commands instead of pending-commands Result Running \'test\' only executes unit tests. Running \'it:test\' executes theintegration tests.""'",,,,,,,,,,,,,,,
finagle,543,closed,1,2016-08-16 21:10:33,123.03,,1,,"b""b' ## [Current coverage]url  is 68.48% (diff: 50.00%) '""",,,,,,,,,,,,,,,,,,
finagle,543,closed,2,2016-08-16 21:10:33,856.4,,1,,"b""b' Ping @mosesn '""",,,,,,,,,,,,,,,,,,
finagle,543,closed,3,2016-08-16 21:10:33,375.47,,1,,"b'b"" I\'ve attempted to pull this in internally", but finagle-redis has moved quite a bit. Would you mind rebasing your changes on the latest in develop? After that," I\'ll make sure this gets in asap.""'",,,,,,,,,,,,,,,,
finagle,543,closed,4,2016-08-16 21:10:33,164.83,,,1,"b""b' @nepthar sure", ill rebase and will also check your earlier comment," thanks!'""",,,,,,,,,,,,,,,,
finagle,543,closed,5,2016-08-16 21:10:33,446.05,,,1,"b""b' Hello"," just wondering what the status of this PR is.  Would love to get the PATTERN -> MATCH fix.  Thanks :)'""",,,,,,,,,,,,,,,,,
finagle,543,closed,6,2016-08-16 21:10:33,749.68,,1,,"b""b' @mkhq Have you had the chance to bring this up to date?'""",,,,,,,,,,,,,,,,,,
finagle,543,closed,7,2016-08-16 21:10:33,773.2,,1,,"b""b' @nepthar @luliu Hey"," it was more than I expected so didnt finish yet. Does it make sense to make a separate PR for the PATTERN -> MATCH fix?'""",,,,,,,,,,,,,,,,,
finagle,543,closed,8,2016-08-16 21:10:33,458.0,,,1,b'b\' @mkhq I\\\'ll refrain from butting into your process.  :)  As long as it is still being worked on," I\\\'m happy with a ""it\\\'s done when it\\\'s done"".\''",,,,,,,,,,,,,,,,,
finagle,543,closed,9,2016-08-16 21:10:33,196.1,,,1,"b""b' @mkhq I always have a preference for smaller", more focused PRs," so that sounds great to me!'""",,,,,,,,,,,,,,,,
finagle,543,closed,10,2016-08-16 21:10:33,194.27,,1,,"b""b' @nepthar @luliu Added a new PR #587 that replaces PATTERN with MATCH. Tested against redis 3.2.6.'""",,,,,,,,,,,,,,,,,,
finagle,543,closed,closed,2017-05-09 21:25:14,14.68,0,8,4,,,,,,,,,,,,,,,,,,,
finagle,543,closed,reopened,2017-05-09 21:25:53,0.65,0,8,4,,,,,,,,,,,,,,,,,,,
finagle,543,closed,11,2016-08-16 21:10:33,1439.17,,1,,"b""b' @mkhq have you had a chance to take another look at this?'""",,,,,,,,,,,,,,,,,,
finagle,543,closed,12,2016-08-16 21:10:33,1029.92,,1,,"b""b' @mosesn will open a new PR"," this code is too outdated'""",,,,,,,,,,,,,,,,,
finagle,543,closed,closed,2017-08-10 14:36:40,1030.78,0,10,4,,,,,,,,,,,,,,,,,,,
finagle,543,closed,-,-,-,0,10,4,,,,,,,,,,,,,,,,,,,
finagle,649,closed,opened,2017-08-26 17:05:44,,,,,,,,,,,,,,,,,,,,,,,
finagle,649,closed,title,2017-08-26 17:05:44,00:00,,1,,"b""b' Project does not build due to scrooge sbt plugin'""",,,,,,,,,,,,,,,,,,
finagle,649,closed,body,2017-08-26 17:05:44,00:00,,1,,"b""b' clone the project and run and you find that the project does not compile due to missing dependency  error] (*:update) : unresolved dependency: #scrooge-sbt-plugin;4.19.0-SNAPSHOT: not found Project loading failed: (r)etry", (q)uit, (l)ast," or (i)gnore? a  On investigation I see that it is not built for the version of Scala the project uses by default.  Is building this plugin documented anywhere?  '""",,,,,,,,,,,,,,,
finagle,649,closed,1,2017-08-26 17:05:44,106.33,1,,,"b'b"" @justinhj yep", there\'s a note in the README that explains you should peek in the []url  doc," or you can build from stable versions by switching to the \'master\' branch.""'",,,,,,,,,,,,,,,,
finagle,649,closed,closed,2017-08-26 18:52:04,106.33,1,2,0,,,,,,,,,,,,,,,,,,,
finagle,649,closed,2,2017-08-26 17:05:44,30.55,,1,,"b""b' @mosesn the underlying issue here is that was literally not published for ANY version of This is kind of a big bug for me and anyone else outside of twitter that uses thrift with finagle.'""",,,,,,,,,,,,,,,,,,
finagle,649,closed,reopened,2017-08-29 00:14:58,322.9,1,3,0,,,,,,,,,,,,,,,,,,,
finagle,649,closed,3,2017-08-26 17:05:44,294.28,,,1,"b'b"" @crispywalrus ah", I see now.  We\'ll get right on that," thanks!""'",,,,,,,,,,,,,,,,
finagle,649,closed,4,2017-08-26 17:05:44,993.37,1,,,"b""b' @crispywalrus sorry about that"," this should be fixed now'""",,,,,,,,,,,,,,,,,
finagle,649,closed,5,2017-08-26 17:05:44,6.1,,,1,"b""b' I see it now"," thanks @dschobel!'""",,,,,,,,,,,,,,,,,
finagle,649,closed,closed,2017-08-29 17:45:17,1050.32,2,3,2,,,,,,,,,,,,,,,,,,,
finagle,649,closed,-,-,-,2,3,2,,,,,,,,,,,,,,,,,,,
finagle,683,closed,opened,2018-03-10 02:06:43,,,,,,,,,,,,,,,,,,,,,,,
finagle,683,closed,title,2018-03-10 02:06:43,00:00,,1,,"b""b' Unable to run finagle-example project'""",,,,,,,,,,,,,,,,,,
finagle,683,closed,body,2018-03-10 02:06:43,00:00,,1,,"b'b"" finagle-example is throwing compilation errors  ### Expected behavior  The project should be able to compile.  ### Actual behavior  While executing the command"," I\'m getting the following errors:  ### Steps to reproduce the behavior Run this command from the branch: . ""'",,,,,,,,,,,,,,,,,
finagle,683,closed,1,2018-03-10 02:06:43,9.47,,,1,"b'b"" @AlexITC thanks for the issue. Looks like a dependency issue has been introduced. We\'ll take a look.""'",,,,,,,,,,,,,,,,,,
finagle,683,closed,2,2018-03-10 02:06:43,221.5,,1,,"b""b'   does not depend on guava in sbt build"," but in pants BUILD it does. Looks like been broken since the removal of guava from serversets.'""",,,,,,,,,,,,,,,,,
finagle,683,closed,3,2018-03-10 02:06:43,784.13,,1,,"b""b' A patch is in progress.'""",,,,,,,,,,,,,,,,,,
finagle,683,closed,4,2018-03-10 02:06:43,256.12,,1,,"b""b' This should be fixed with url '""",,,,,,,,,,,,,,,,,,
finagle,683,closed,closed,2018-03-12 23:18:33,1271.83,0,5,1,,,,,,,,,,,,,,,,,,,
finagle,683,closed,reopened,2018-03-12 23:18:53,0.33,0,5,1,,,,,,,,,,,,,,,,,,,
finagle,683,closed,closed,2018-03-12 23:19:07,0.23,0,5,1,,,,,,,,,,,,,,,,,,,
finagle,683,closed,-,-,-,0,5,1,,,,,,,,,,,,,,,,,,,
finagle,716,closed,opened,2018-08-23 13:06:31,,,,,,,,,,,,,,,,,,,,,,,
finagle,716,closed,title,2018-08-23 13:06:31,00:00,,1,,"b""b' Missing dtab information in NoBrokersAvailableException'""",,,,,,,,,,,,,,,,,,
finagle,716,closed,body,2018-08-23 13:06:31,00:00,1,,,"b'b"" The message of the always shows an empty and even if they are set.  ### Expected behavior  The message of the should display the actual and being used.  ### Actual behavior  Exception message always shows both the  and  as empty. This causes confusion specifically in cases where the Dtab is set in other parts of the code. Then it\'s unclear whether the dtab was actually picked up.  ### Steps to reproduce the behavior  Run the example code below:  It results in this exception:  While I was expecting the  and  parts to be filled with the actual dtab information.""'",,,,,,,,,,,,,,,,,,
finagle,716,closed,1,2018-08-23 13:06:31,640.23,,,1,"b""b' Nice find.  Looks to me like [LoadBalancerFactory]url  is not using the right constructor for  . That said", even if we capture the right value at construction time," those values could change after that. My inclination is to evolve to allow those values to be read from and unless they have been set.  Are you interested in working on a PR to fix this?'""",,,,,,,,,,,,,,,,
finagle,716,closed,closed,2018-08-23 23:46:45,640.23,1,1,1,,,,,,,,,,,,,,,,,,,
finagle,716,closed,reopened,2018-08-23 23:46:48,0.05,1,1,1,,,,,,,,,,,,,,,,,,,
finagle,716,closed,2,2018-08-23 13:06:31,814.83,1,,,"b""b' I think I could work on a PR"," but I have one  approach: * Is there a specific reason why the exception is created only once instead of creating an exception each time it encounters the specific situation. E.g. why not pass a function to the method. I think that would be better in terms of: which class should be responsible for mentioning the correct Dtab info in the message? I think it should be the creator of the exception who knows the exact information it worked with.'""",,,,,,,,,,,,,,,,,
finagle,716,closed,3,2018-08-23 13:06:31,194.33,,1,,"b'b"" It\'d be a bigger API change. A compromise might be to add a new constructor to where and are Function1\'s.  ""'",,,,,,,,,,,,,,,,,,
finagle,716,closed,4,2018-08-23 13:06:31,55.95,,1,,"b'b"" The suggested compromise makes sense I think. I\'ll prepare a PR""'",,,,,,,,,,,,,,,,,,
finagle,716,closed,closed,2018-09-14 02:16:42,149.9,2,3,1,,,,,,,,,,,,,,,,,,,
finagle,716,closed,-,-,-,2,3,1,,,,,,,,,,,,,,,,,,,
finagle,743,closed,opened,2018-11-04 16:57:34,,,,,,,,,,,,,,,,,,,,,,,
finagle,743,closed,title,2018-11-04 16:57:34,00:00,,1,,"b""b' finagle-redis: Add support for Stream APIs'""",,,,,,,,,,,,,,,,,,
finagle,743,closed,body,2018-11-04 16:57:34,00:00,,1,,"b""b' Problem  Redis 5.0 was released recently and brought with it the new Stream API. The finagle-redis client should support these new APIs.  Solution  Added support for the Stream API in the finagle-redis client.  Result  Users of the finagle-redis library will be able to access the new Stream API which is now generally available on Redis >=5.0.  NOTE: I did not implement access to the APIs yet. The return types of those calls are a bit more complex than others. '""",,,,,,,,,,,,,,,,,,
finagle,743,closed,1,2018-11-04 16:57:34,0.12,,,1,"b""b' [![CLA assistant check]url  All committers have signed the CLA.'""",,,,,,,,,,,,,,,,,,
finagle,743,closed,2,2018-11-04 16:57:34,20.07,,,1,"b""b' # [Codecov]url  Report[![Impacted file tree graph]url  | [Impacted Files]url  | Coverage \\xce\\x94  [.../]url [..]url [..]url [..]url [.../]url [.../]url [..]url [..]url ... and [2 more]url -[Continue to review full report at Codecov]url '""",,,,,,,,,,,,,,,,,,
finagle,743,closed,3,2018-11-04 16:57:34,13.82,,1,,"b""b' cc OWNERS:  @dschobel @edede @koliver @mnakamura @mpatidar @roanta @vkostyukov'""",,,,,,,,,,,,,,,,,,
finagle,743,closed,4,2018-11-04 16:57:34,63.95,,1,,"b""b' Hi chris"," taking a look at this today'""",,,,,,,,,,,,,,,,,
finagle,743,closed,5,2018-11-04 16:57:34,33.0,,,1,"b""b' Awesome"," thanks! '""",,,,,,,,,,,,,,,,,
finagle,743,closed,6,2018-11-04 16:57:34,336.28,,,1,"b'b"" @nepthar thanks for the review! On top of the integration spec I\'ve done a fair bit of ad hoc testing using the REPL. I thought of a few more cases I\'d like to run through"," so I\'m doing those now! ""'",,,,,,,,,,,,,,,,,
finagle,743,closed,7,2018-11-04 16:57:34,1140.7,,,1,"b'b"" @chrisbenincasa Awesome!  By the way", when you run your repl tests, could you please  the commands that you uses to test things into... maybe these comments? I know we don\'t have an official way of capturing that kind of testing," but at least having them here would be fantastic.""'",,,,,,,,,,,,,,,
finagle,743,closed,8,2018-11-04 16:57:34,1268.5,,,1,"b'b"" Most definitely! I\'ll get those added here along with the changes you requested. ""'",,,,,,,,,,,,,,,,,,
finagle,743,closed,9,2018-11-04 16:57:34,1313.7,,1,,"b'b"" @nepthar pushed up changes based on your feedback. I\'m working on cleaning up the logs from a long REPL session and I\'ll post that here once I\'m finished with that.""'",,,,,,,,,,,,,,,,,,
finagle,743,closed,10,2018-11-04 16:57:34,18.07,,,1,"b""b' This was merged as ba578c1445b2e241687ad3c89eec4f3d93431a76. Thanks for the PR!'""",,,,,,,,,,,,,,,,,,
finagle,743,closed,closed,2018-11-26 15:05:46,1328.2,0,5,7,,,,,,,,,,,,,,,,,,,
finagle,743,closed,11,2018-11-04 16:57:34,200.4,,1,,"b'b"" @bryce-anderson I\'m re-opening this PR to allow @chrisbenincasa to post his testing REPL logs here. I\'ll close once they\'re posted.""'",,,,,,,,,,,,,,,,,,
finagle,743,closed,reopened,2018-11-26 18:26:10,200.4,0,6,7,,,,,,,,,,,,,,,,,,,
finagle,743,closed,12,2018-11-04 16:57:34,148.97,1,,,"b'b"" Apologies for the delay here the holiday threw things off for me. I\'ll post those logs ASAP. ""'",,,,,,,,,,,,,,,,,,
finagle,743,closed,13,2018-11-04 16:57:34,1244.53,,,1,"b'b"" @nepthar here\'s a session demonstrating XADD", XREAD, XRANGE, XREVRANGE, XLEN, XDEL," and XTRIM.  url Let me know if you\'d like to see any more cases! ""'",,,,,,,,,,,,
finagle,743,closed,14,2018-11-04 16:57:34,384.63,,,1,"b""b' Thanks again @chrisbenincasa this got merged back in ba578c1445b2e241687ad3c89eec4f3d93431a76 and was included in the 18.12 release.'""",,,,,,,,,,,,,,,,,,
finagle,743,closed,closed,2018-12-13 00:04:19,338.15,1,6,9,,,,,,,,,,,,,,,,,,,
finagle,743,closed,-,-,-,1,6,9,,,,,,,,,,,,,,,,,,,
finagle,766,closed,opened,2019-04-30 00:15:42,,,,,,,,,,,,,,,,,,,,,,,
finagle,766,closed,title,2019-04-30 00:15:42,00:00,,1,,"b""b' finagle-core: Fix rate limiter if negative rate or after window'""",,,,,,,,,,,,,,,,,,
finagle,766,closed,body,2019-04-30 00:15:42,00:00,,1,,"b""b' Problem  When rate is negative then request could be executed"," and after one elapsed time windows rate is not well modified.  Solution  Refuse request when rate is negative and reset correctly limit after one elapsed time window.'""",,,,,,,,,,,,,,,,,
finagle,766,closed,1,2019-04-30 00:15:42,0.12,,,1,"b""b' [![CLA assistant check]url  All committers have signed the CLA.'""",,,,,,,,,,,,,,,,,,
finagle,766,closed,2,2019-04-30 00:15:42,29.35,,,1,"b""b' # [Codecov]url  Report[![Impacted file tree graph]url  | [Impacted Files]url  | Coverage \\xce\\x94  [..]url [..]url [.../]url [..]url [..]url [..]url [..]url [.../]url [..]url [...y4/]url ... and [159 more]url -[Continue to review full report at Codecov]url '""",,,,,,,,,,,,,,,,,,
finagle,766,closed,closed,2019-05-01 09:10:51,535.15,0,2,2,,,,,,,,,,,,,,,,,,,
finagle,766,closed,reopened,2019-05-01 09:10:54,0.05,0,2,2,,,,,,,,,,,,,,,,,,,
finagle,766,closed,closed,2019-05-27 11:41:01,150.12,0,2,2,,,,,,,,,,,,,,,,,,,
finagle,766,closed,reopened,2019-05-27 11:41:04,0.05,0,2,2,,,,,,,,,,,,,,,,,,,
finagle,766,closed,3,2019-04-30 00:15:42,1252.37,,1,,"b'b"" I\'m pulling this internally.""'",,,,,,,,,,,,,,,,,,
finagle,766,closed,4,2019-04-30 00:15:42,1342.8,,1,,"b""b' Merged in 03d1ad8bc6de13676d3164484c4448b8936007b5. '""",,,,,,,,,,,,,,,,,,
finagle,766,closed,closed,2019-06-05 20:00:20,499.27,0,4,2,,,,,,,,,,,,,,,,,,,
finagle,766,closed,-,-,-,0,4,2,,,,,,,,,,,,,,,,,,,
